Time,Thermistor,Potentiometer
0,436,910
0,435,909
200,433,908
401,434,908
602,434,908
802,434,908
1003,433,908
1204,433,907
1404,434,908
1605,434,908
1806,434,908
2007,434,908
2207,433,905
2408,434,908
2609,434,908
2809,434,908
3011,434,908
3212,434,908
3412,434,909
3613,434,907
3814,435,909
4015,434,908
4215,435,909
4416,434,909
4617,432,905
4817,434,908
5018,433,907
5219,434,909
5420,434,907
5620,435,908
5821,434,909
6023,433,907
6223,434,908
6424,434,908
6625,434,909
6825,434,908
7026,434,907
7227,434,908
7428,434,909
7628,434,909
7829,434,908
8030,433,908
8230,434,908
8431,433,906
8632,434,908
8833,434,908
9034,434,908
9235,434,907
9436,434,906
9636,434,908
9837,434,908
10038,434,909
10238,434,908
10439,435,908
10640,434,909
10841,434,906
11041,433,908
11243,433,907
11444,434,908
11644,434,908
11845,435,908
12046,434,908
12247,434,908
12447,434,907
12648,434,906
12849,435,908
13049,434,908
13251,434,909
13452,435,908
13652,435,908
13853,435,908
14054,435,908
14255,435,908
14455,434,905
14656,435,908
14857,435,908
15058,436,908
15259,435,908
15460,436,908
15661,435,907
15861,435,906
16062,435,907
16263,434,907
16463,435,908
16664,435,908
16866,436,908
17067,435,908
17267,435,908
17468,436,907
17669,434,904
17869,436,908
18070,436,908
18271,436,908
18471,436,907
18673,436,909
18874,436,909
19075,436,908
19275,436,908
19476,435,905
19677,437,908
19877,437,908
20078,437,908
20279,437,908
20481,436,908
20681,437,908
20882,437,906
21083,437,908
21283,436,908
21484,437,909
21685,437,908
21885,437,908
22086,436,908
22288,438,908
22489,438,908
22689,436,903
22890,438,892
23091,438,862
23291,438,834
23492,437,813
23693,438,795
23894,437,778
24095,436,759
24296,438,737
24497,436,711
24697,438,688
24898,437,654
25099,438,617
25299,437,591
25500,437,590
25701,438,590
25903,436,587
26103,438,559
26304,437,513
26505,438,485
26705,436,481
26906,436,482
27107,438,483
27308,436,482
27508,438,483
27710,436,481
27911,438,484
28111,436,481
28312,438,484
28513,436,483
28713,436,482
28914,437,484
29115,435,482
29316,437,484
29516,435,482
29718,437,484
29919,435,483
30119,437,483
30320,437,484
30521,435,483
30722,437,484
30922,436,483
31123,437,484
31324,436,483
31525,437,484
31726,436,483
31927,435,483
32128,437,484
32328,435,483
32529,436,484
32730,435,483
32930,436,485
33131,435,483
33333,437,483
33533,435,484
33734,435,483
33935,436,485
34136,435,483
34336,436,485
34537,434,483
34738,437,485
34938,435,483
35140,436,483
35341,436,485
35542,435,483
35742,436,485
35943,434,484
36144,436,485
36344,435,483
36545,436,485
36746,435,485
36947,435,484
37148,436,485
37349,434,484
37550,436,485
37750,434,484
37951,436,485
38152,434,483
38352,436,484
38553,434,485
38755,434,483
38956,435,485
39156,434,484
39357,436,485
39558,434,483
39758,436,485
39959,433,483
40160,435,484
40360,435,485
40562,434,484
40763,435,485
